DIA_SEMANA;HORA;TEMPERATURA;UMIDADE;VELOCIDADE_VENTO;VISIBILIDADE;RADIACAO_SOLAR;CHUVA;NEVE;ESTACAO;FERIADO;FUNCIONAMENTO;BICICLETAS_ALUGADAS
sab;13;6;36;1.8;1780;1.12;0;0;inverno;não;sim;606
sab;14;7.3;35;1.3;1955;0.99;0;0;inverno;não;sim;611
sab;15;7.6;41;2.3;1953;0.74;0;0;inverno;não;sim;589
sab;16;6.4;48;2.6;1945;0.22;0;0;inverno;não;sim;618
sab;17;6;51;2.5;1891;0.06;0;0;inverno;não;sim;572
sab;18;5.5;53;1.5;1697;0;0;0;inverno;não;sim;489
sab;19;5;52;2.3;1666;0;0;0;inverno;não;sim;385
sab;20;4.6;51;1.2;1585;0;0;0;inverno;não;sim;359
sab;21;4.1;55;1.2;1448;0;0;0;inverno;não;sim;377
sab;22;3.5;54;1.5;1446;0;0;0;inverno;não;sim;354
sab;23;4;56;1;1352;0;0;0;inverno;não;sim;366
dom;0;4;58;1.4;1296;0;0;0;inverno;não;sim;342
dom;1;3.9;69;1.7;485;0;0;0;inverno;não;sim;227
dom;2;3.3;79;1.4;830;0;0;0;inverno;não;sim;228
dom;3;3.4;71;1.6;1011;0;0.5;0;inverno;não;sim;117
dom;4;3.5;73;1;1060;0;0;0;inverno;não;sim;76
dom;5;3.9;75;1.9;914;0;0;0;inverno;não;sim;32
dom;6;3.4;86;2.5;278;0;1;0;inverno;não;sim;13
dom;7;3.1;91;1.2;129;0;0;0;inverno;não;sim;22
dom;8;3.2;92;1.8;244;0;0;0;inverno;não;sim;85
dom;9;3.5;91;1.8;231;0.02;2.5;0;inverno;não;sim;152
dom;10;4.4;89;2.2;257;0.24;0;0;inverno;não;sim;200
dom;11;5.1;87;1.4;321;0.25;0;0;inverno;não;sim;273
dom;12;5.8;85;1.7;349;0.43;0;0;inverno;não;sim;333
dom;13;6.8;81;1.9;390;0.6;0;0;inverno;não;sim;495
dom;14;7.6;76;1.2;422;0.69;0;0;inverno;não;sim;563
dom;15;8;73;1.6;433;0.53;0;0;inverno;não;sim;621
dom;16;7.6;77;1.6;399;0.2;0;0;inverno;não;sim;598
dom;17;6.7;82;1.5;358;0.05;0;0;inverno;não;sim;545
dom;18;6;84;1.9;327;0;0;0;inverno;não;sim;443
dom;19;5.7;85;1.7;309;0;0;0;inverno;não;sim;422
dom;20;5.2;87;1.4;253;0;0;0;inverno;não;sim;397
dom;21;4.7;87;1.2;247;0;0;0;inverno;não;sim;385
dom;22;4.3;89;1.8;201;0;0;0;inverno;não;sim;350
dom;23;3.9;90;1.3;194;0;0;0;inverno;não;sim;303
seg;0;4.2;88;0.6;216;0;0;0;inverno;não;sim;285
seg;1;4.3;87;0.5;221;0;0;0;inverno;não;sim;186
seg;2;4.4;87;1.8;207;0;0;0;inverno;não;sim;112
seg;3;3.6;85;2.3;206;0;0;0;inverno;não;sim;65
seg;4;2.8;89;1.5;130;0;0;0;inverno;não;sim;41
seg;5;2;83;2.7;253;0;0;0;inverno;não;sim;82
seg;6;1.2;76;3.7;371;0;0.1;0;inverno;não;sim;200
seg;7;0.2;68;3.4;702;0;0;0;inverno;não;sim;498
seg;8;-0.8;69;3.5;954;0.01;0;0;inverno;não;sim;937
seg;9;-1.5;47;4.2;1888;0.22;0;0;inverno;não;sim;509
seg;10;-1.1;40;4.5;2000;0.64;0;0;inverno;não;sim;311
seg;11;-0.5;41;4.1;1799;0.94;0;0;inverno;não;sim;379
seg;12;-0.3;38;4.8;1823;1.11;0;0;inverno;não;sim;393
seg;13;0;30;5.4;1938;1.17;0;0;inverno;não;sim;391
seg;14;0.1;27;4.5;2000;1.09;0;0;inverno;não;sim;338
seg;15;-0.1;25;5.8;2000;0.88;0;0;inverno;não;sim;341
seg;16;-0.2;23;4.7;2000;0.55;0;0;inverno;não;sim;375
seg;17;-1.3;26;5.3;2000;0.18;0;0;inverno;não;sim;515
seg;18;-2.1;29;3.9;2000;0;0;0;inverno;não;sim;807
seg;19;-2.9;32;3.2;2000;0;0;0;inverno;não;sim;568
seg;20;-3.6;38;3;2000;0;0;0;inverno;não;sim;398
seg;21;-4.6;43;4.5;2000;0;0;0;inverno;não;sim;397
seg;22;-5.3;45;2.5;2000;0;0;0;inverno;não;sim;353
seg;23;-5.8;44;2.4;2000;0;0;0;inverno;não;sim;248
ter;0;-6.1;42;2.6;2000;0;0;0;inverno;não;sim;216
ter;1;-6.5;41;2.8;2000;0;0;0;inverno;não;sim;198
ter;2;-6.8;41;2.5;2000;0;0;0;inverno;não;sim;124
ter;3;-6.9;39;2;2000;0;0;0;inverno;não;sim;62
ter;4;-7.2;34;3;2000;0;0;0;inverno;não;sim;42
ter;5;-7.4;33;2.6;2000;0;0;0;inverno;não;sim;82
ter;6;-7.4;34;3.2;2000;0;0;0;inverno;não;sim;172
ter;7;-7.5;33;2.2;2000;0;0;0;inverno;não;sim;381
ter;8;-8.1;36;1.6;2000;0.01;0;0;inverno;não;sim;812
ter;9;-7.6;31;1.3;1974;0.21;0;0;inverno;não;sim;462
ter;10;-5.5;26;2.8;1967;0.64;0;0;inverno;não;sim;269
ter;11;-3.9;25;0;1959;0;0;0;inverno;não;sim;334
ter;12;-2.3;25;0;1962;0;0;0;inverno;não;sim;321
ter;13;-1.6;27;0;1955;0;0;0;inverno;não;sim;325
ter;14;-1.1;28;0;2000;0;0;0;inverno;não;sim;334
ter;15;-0.7;28;0;2000;0;0;0;inverno;não;sim;353
ter;16;-0.5;30;0;2000;0;0;0;inverno;não;sim;435
ter;17;-1.6;35;0;2000;0;0;0;inverno;não;sim;529
ter;18;-2.6;40;0;2000;0;0;0;inverno;não;sim;789
ter;19;-3.2;45;0;2000;0;0;0;inverno;não;sim;597
ter;20;-3.5;46;0;2000;0;0;0;inverno;não;sim;418
ter;21;-3.7;47;0;2000;0;0;0;inverno;não;sim;415
ter;22;-2.8;49;0;2000;0;0;0;inverno;não;sim;393
ter;23;-2.5;59;0;1210;0;0;0;inverno;não;sim;244
qua;0;-2.8;77;0;331;0;0.1;0.1;inverno;não;sim;145
qua;1;-3;79;0;293;0;0;0.3;inverno;não;sim;144
qua;2;-3;79;0;1862;0;0;0.4;inverno;não;sim;117
qua;3;-3.2;78;0;1808;0;0.2;0.4;inverno;não;sim;78
qua;4;-3.4;75;0;1982;0;0;0.4;inverno;não;sim;58
qua;5;-3.6;76;0;1934;0;0;0.4;inverno;não;sim;87
qua;6;-3.7;76;0;1864;0;0;0.4;inverno;não;sim;142
qua;7;-4.2;77;0;1741;0;0;0.3;inverno;não;sim;379
qua;8;-4.2;78;0;1518;0.01;0;0.2;inverno;não;sim;802
qua;9;-3.3;70;0;1324;0.25;0;0.2;inverno;não;sim;440
qua;10;-0.9;64;0;1224;0.63;0;0.2;inverno;não;sim;307
qua;11;1.6;57;1.2;1261;0.93;0;0;inverno;não;sim;381
qua;12;2.4;52;0.9;1224;1.08;0;0;inverno;não;sim;405
qua;13;4.2;47;1.1;1469;1.1;0;0;inverno;não;sim;442
qua;14;5.5;34;1;1966;0.96;0;0;inverno;não;sim;416
qua;15;5.5;31;3.1;1968;0.72;0;0;inverno;não;sim;412
qua;16;5.3;37;2.9;2000;0.36;0;0;inverno;não;sim;496
qua;17;4.1;60;2.5;1565;0.1;0;0;inverno;não;sim;239
qua;18;1.7;90;1;66;0;0.3;0.3;inverno;não;sim;204
qua;19;1.2;92;0.7;180;0;0;1;inverno;não;sim;205
qua;20;1.2;94;0.6;228;0;0;1;inverno;não;sim;190
qua;21;1.1;92;0.5;235;0;0.7;1;inverno;não;sim;165
qua;22;1.3;92;0.6;233;0;0;1;inverno;não;sim;222
qua;23;1.3;92;0.6;209;0;0;1;inverno;não;sim;193
qui;0;1.4;92;0.5;240;0;0;0.9;inverno;não;sim;198
qui;1;1.5;92;0.4;227;0;0;0.9;inverno;não;sim;218
qui;2;1.4;92;0.7;168;0;0;0.9;inverno;não;sim;149
qui;3;1.9;91;1.4;218;0;0;0.9;inverno;não;sim;102
qui;4;1.6;92;0.7;119;0;0;0.9;inverno;não;sim;62
qui;5;1.5;92;1.1;175;0;0;0.9;inverno;não;sim;83
qui;6;1;93;0.5;148;0;0;0.9;inverno;não;sim;137
qui;7;0.3;93;0.5;173;0;0;0.9;inverno;não;sim;367
qui;8;-0.2;96;0.8;173;0.01;0;0.8;inverno;não;sim;754
qui;9;0.1;91;0.8;265;0.14;0;0.8;inverno;não;sim;415
qui;10;1.1;83;0.7;311;0.41;0;0.7;inverno;não;sim;321
qui;11;2.3;69;1.7;628;0.63;0;0.6;inverno;não;sim;333
qui;12;3.7;65;2.4;833;0.98;0;0.3;inverno;não;sim;431
qui;13;4.1;37;3.1;1767;1.14;0;0;inverno;não;sim;394
qui;14;4.4;36;2.7;1975;1.04;0;0;inverno;não;sim;390
qui;15;4;35;3.1;1962;0.84;0;0;inverno;não;sim;430
qui;16;3.2;38;2.9;1817;0.51;0;0;inverno;não;sim;471
qui;17;2.1;50;2;1434;0.15;0;0;inverno;não;sim;552
qui;18;0.7;46;2.7;1558;0;0;0;inverno;não;sim;795
qui;19;-0.4;47;2.5;1269;0;0;0;inverno;não;sim;507
qui;20;-1.4;47;2.5;1620;0;0;0;inverno;não;sim;390
qui;21;-2.2;46;2.2;1975;0;0;0;inverno;não;sim;402
qui;22;-2.7;48;2.6;1844;0;0;0;inverno;não;sim;389
qui;23;-3.2;50;2.1;1887;0;0;0;inverno;não;sim;259
sex;0;-3.5;49;2.6;1893;0;0;0;inverno;não;sim;233
sex;1;-3.7;50;2.5;1902;0;0;0;inverno;não;sim;230
sex;2;-4.3;53;1;1918;0;0;0;inverno;não;sim;131
sex;3;-4.8;52;1.6;1978;0;0;0;inverno;não;sim;99
sex;4;-5.3;53;2.4;1936;0;0;0;inverno;não;sim;71
sex;5;-5.8;56;2;1941;0;0;0;inverno;não;sim;84
sex;6;-6;56;3.5;1853;0;0;0;inverno;não;sim;158
sex;7;-6.5;57;0.8;1776;0;0;0;inverno;não;sim;387
sex;8;-7;59;0.8;1559;0.01;0;0;inverno;não;sim;780
sex;9;-6.7;50;0.9;1492;0.23;0;0;inverno;não;sim;395
sex;10;-5.3;44;2.8;1516;0.63;0;0;inverno;não;sim;261
sex;11;-3.7;39;1.4;1595;0.93;0;0;inverno;não;sim;310
sex;12;-2;30;1.4;1728;1.14;0;0;inverno;não;sim;355
sex;13;-1.7;28;1.8;1963;1.22;0;0;inverno;não;sim;354
sex;14;-1.3;27;3.1;1906;1.12;0;0;inverno;não;sim;350
sex;15;-0.8;26;3.3;1977;0.87;0;0;inverno;não;sim;362
sex;16;-1.1;24;3.4;2000;0.56;0;0;inverno;não;sim;401
sex;17;-2.4;30;2.7;2000;0.18;0;0;inverno;não;sim;500
sex;18;-3.1;33;1.2;2000;0;0;0;inverno;não;sim;752
sex;19;-3.3;35;1.1;2000;0;0;0;inverno;não;sim;477
sex;20;-3.3;34;1.5;2000;0;0;0;inverno;não;sim;384
sex;21;-3.3;35;0.5;2000;0;0;0;inverno;não;sim;336
sex;22;-3.4;39;1.2;2000;0;0;0;inverno;não;sim;347
sex;23;-3.5;43;0.9;2000;0;0;0;inverno;não;sim;275
sab;0;-3.5;48;0.9;1967;0;0;0;inverno;não;sim;267
sab;1;-4.1;49;0.6;2000;0;0;0;inverno;não;sim;296
sab;2;-4.7;50;0.7;1983;0;0;0;inverno;não;sim;237
sab;3;-4.3;47;0.6;1992;0;0;0;inverno;não;sim;169
sab;4;-4.3;49;0.7;2000;0;0;0;inverno;não;sim;96
sab;5;-4.7;49;0.8;1999;0;0;0;inverno;não;sim;56
sab;6;-5.1;53;0.9;1975;0;0;0;inverno;não;sim;76
sab;7;-5.5;56;0.8;1950;0;0;0;inverno;não;sim;127
sab;8;-5.4;56;0.7;1940;0.01;0;0;inverno;não;sim;222
sab;9;-4.7;48;1;1784;0.23;0;0;inverno;não;sim;291
sab;10;-2.2;42;1.3;1646;0.61;0;0;inverno;não;sim;273
sab;11;0;45;1.1;1500;0.89;0;0;inverno;não;sim;351
sab;12;2.4;40;0.8;1809;1.05;0;0;inverno;não;sim;427
sab;13;3.9;36;2;1702;1.13;0;0;inverno;não;sim;431
sab;14;4.7;32;2.2;1948;1.06;0;0;inverno;não;sim;486
sab;15;5.2;30;2;1963;0.84;0;0;inverno;não;sim;569
sab;16;4.4;33;1.6;1963;0.4;0;0;inverno;não;sim;546
sab;17;3.5;37;1.8;1963;0.1;0;0;inverno;não;sim;481
sab;18;2.5;41;1;1974;0;0;0;inverno;não;sim;384
sab;19;1.5;48;0.4;1878;0;0;0;inverno;não;sim;275
sab;20;0.8;51;1.4;1848;0;0;0;inverno;não;sim;298
sab;21;-0.1;55;0.7;1654;0;0;0;inverno;não;sim;321
sab;22;-0.5;55;0.6;1655;0;0;0;inverno;não;sim;289
sab;23;-0.1;54;1.3;1570;0;0;0;inverno;não;sim;265
dom;0;-0.2;55;1;1629;0;0;0;inverno;não;sim;326
dom;1;-0.2;54;0.5;1747;0;0;0;inverno;não;sim;280
dom;2;0.2;52;0.7;1726;0;0;0;inverno;não;sim;243
dom;3;0.3;53;0.5;1748;0;0;0;inverno;não;sim;169
dom;4;0.4;52;1.6;1816;0;0;0;inverno;não;sim;71
dom;5;0.3;74;1;178;0;0;0.7;inverno;não;sim;13
dom;6;-0.5;90;0.9;91;0;2.5;2.7;inverno;não;sim;9
dom;7;-0.4;92;1.1;121;0;0;4;inverno;não;sim;20
dom;8;-0.2;90;1.2;378;0;0;4.1;inverno;não;sim;35
dom;9;0.2;90;1;305;0;1.6;4.3;inverno;não;sim;31
dom;10;0.5;91;0.4;143;0;0;4.3;inverno;não;sim;19
dom;11;0.9;92;0.9;137;0.03;0;3.9;inverno;não;sim;58
dom;12;2.3;88;0.3;245;0.28;0;3.1;inverno;não;sim;119
dom;13;3.3;87;1.1;230;0.54;0;2.1;inverno;não;sim;182
dom;14;4.2;85;0.7;325;0.65;0;1.4;inverno;não;sim;235
dom;15;6.7;63;4.5;715;0.35;0;1;inverno;não;sim;180
dom;16;5.4;71;3.5;622;0.2;0;0.5;inverno;não;sim;214
dom;17;3.6;65;4.3;1061;0.03;0;0.4;inverno;não;sim;226
dom;18;2;61;3;2000;0;0;0;inverno;não;sim;210
dom;19;1.6;53;4;2000;0;0;0;inverno;não;sim;181
dom;20;0.6;57;3.9;1954;0;0;0;inverno;não;sim;165
dom;21;0;59;3;1862;0;0;0;inverno;não;sim;167
dom;22;-1;56;4.7;2000;0;0;0;inverno;não;sim;152
dom;23;-1.4;43;4.3;2000;0;0;0;inverno;não;sim;148
seg;0;-2.5;39;3.4;2000;0;0;0;inverno;não;sim;125
seg;1;-3.4;36;3.8;2000;0;0;0;inverno;não;sim;111
seg;2;-4.2;35;3.4;2000;0;0;0;inverno;não;sim;67
seg;3;-4.7;38;2.4;2000;0;0;0;inverno;não;sim;45
seg;4;-5.2;35;3.2;2000;0;0;0;inverno;não;sim;44
seg;5;-5.6;38;3.2;1974;0;0;0;inverno;não;sim;86
seg;6;-5.9;39;2.9;1979;0;0;0;inverno;não;sim;136
seg;7;-6;39;3.1;1996;0;0;0;inverno;não;sim;325
seg;8;-6;38;3.6;1994;0.01;0;0;inverno;não;sim;653
seg;9;-5.9;36;5.1;1941;0.1;0;0;inverno;não;sim;326
seg;10;-5.3;32;4.5;2000;0.62;0;0;inverno;não;sim;212
seg;11;-4.7;36;3.8;2000;1;0;0;inverno;não;sim;226
seg;12;-5.2;33;4.6;1973;1.26;0;0;inverno;não;sim;247
seg;13;-5.4;32;5.1;1986;1.24;0;0;inverno;não;sim;241
seg;14;-5.4;31;4.1;1945;1.13;0;0;inverno;não;sim;253
seg;15;-5.5;33;4.5;2000;0.92;0;0;inverno;não;sim;269
seg;16;-6;40;4;2000;0.55;0;0;inverno;não;sim;277
seg;17;-7.1;44;4.2;2000;0.18;0;0;inverno;não;sim;361
seg;18;-7.9;43;3.3;2000;0;0;0;inverno;não;sim;557
seg;19;-8.6;45;3.9;2000;0;0;0;inverno;não;sim;371
seg;20;-9.3;49;3.8;2000;0;0;0;inverno;não;sim;254
seg;21;-9.7;51;2.5;2000;0;0;0;inverno;não;sim;266
seg;22;-10.2;50;3;2000;0;0;0;inverno;não;sim;222
seg;23;-10.7;53;1.2;2000;0;0;0;inverno;não;sim;174
ter;0;-11;51;1.1;2000;0;0;0;inverno;não;sim;133
ter;1;-11.2;51;1.1;2000;0;0;0;inverno;não;sim;127
ter;2;-11.5;50;0.7;2000;0;0;0;inverno;não;sim;95
ter;3;-11.6;50;2.2;1995;0;0;0;inverno;não;sim;54
ter;4;-11.6;47;2.1;1982;0;0;0;inverno;não;sim;46
ter;5;-11.6;45;2.8;1951;0;0;0;inverno;não;sim;65
ter;6;-11.8;47;2.5;1973;0;0;0;inverno;não;sim;104
ter;7;-12.1;50;2.3;1929;0;0;0;inverno;não;sim;280
ter;8;-12.3;52;1.3;1914;0;0;0;inverno;não;sim;580
ter;9;-11.8;46;2.9;1956;0.1;0;0;inverno;não;sim;275
ter;10;-10.5;45;3.3;1855;0.6;0;0;inverno;não;sim;184
ter;11;-9.4;42;3.1;1815;0.93;0;0;inverno;não;sim;201
ter;12;-8.3;35;2.9;1967;1.14;0;0;inverno;não;sim;228
ter;13;-6.9;37;2.4;1955;1.22;0;0;inverno;não;sim;225
ter;14;-5.4;32;2;1930;1.12;0;0;inverno;não;sim;258
ter;15;-5.8;30;2.8;2000;0.92;0;0;inverno;não;sim;250
ter;16;-6;29;2.8;1983;0.58;0;0;inverno;não;sim;248
ter;17;-7;32;2.6;2000;0.19;0;0;inverno;não;sim;305
ter;18;-7.7;36;1;2000;0;0;0;inverno;não;sim;529
ter;19;-8.2;43;1.1;2000;0;0;0;inverno;não;sim;350
ter;20;-8.4;42;1;2000;0;0;0;inverno;não;sim;260
ter;21;-8.8;43;1.4;1999;0;0;0;inverno;não;sim;270
ter;22;-9;45;1.3;1999;0;0;0;inverno;não;sim;256
ter;23;-9.3;47;2.1;2000;0;0;0;inverno;não;sim;173
qua;0;-9.5;48;1.3;1996;0;0;0;inverno;não;sim;168
qua;1;-10.2;52;1.6;1997;0;0;0;inverno;não;sim;183
qua;2;-10.4;53;1.8;1949;0;0;0;inverno;não;sim;120
qua;3;-10.9;55;1.8;1913;0;0;0;inverno;não;sim;79
qua;4;-11.4;58;1.3;1907;0;0;0;inverno;não;sim;41
qua;5;-11.5;58;1.1;1923;0;0;0;inverno;não;sim;68
qua;6;-11.9;57;1.1;1974;0;0;0;inverno;não;sim;109
qua;7;-11.7;53;1.6;1998;0;0;0;inverno;não;sim;310
qua;8;-11.4;47;3.3;2000;0;0;0;inverno;não;sim;591
qua;9;-11.1;46;3.4;1981;0.1;0;0;inverno;não;sim;340
qua;10;-9.5;39;2.1;1875;0.6;0;0;inverno;não;sim;202
qua;11;-8.1;35;1.8;1806;0.96;0;0;inverno;não;sim;251
qua;12;-6.5;30;2.9;1945;1.17;0;0;inverno;não;sim;267
qua;13;-5.8;28;2.9;1887;1.23;0;0;inverno;não;sim;251
qua;14;-4.7;27;2.9;1883;1.12;0;0;inverno;não;sim;240
qua;15;-4.9;26;3.1;1887;0.89;0;0;inverno;não;sim;240
qua;16;-4.5;26;2.2;2000;0.56;0;0;inverno;não;sim;278
qua;17;-5.6;29;1.7;2000;0.18;0;0;inverno;não;sim;392
qua;18;-6.6;33;1.1;2000;0;0;0;inverno;não;sim;537
qua;19;-6.6;31;1.6;2000;0;0;0;inverno;não;sim;373
qua;20;-7.6;35;0.8;2000;0;0;0;inverno;não;sim;263
qua;21;-8.3;39;1;2000;0;0;0;inverno;não;sim;271
qua;22;-8.9;39;0.1;2000;0;0;0;inverno;não;sim;271
qua;23;-9.2;44;0.4;1978;0;0;0;inverno;não;sim;174
qui;0;-9.5;50;0.6;1953;0;0;0;inverno;não;sim;171
qui;1;-9.8;48;0.8;2000;0;0;0;inverno;não;sim;170
qui;2;-10.6;44;0.8;1903;0;0;0;inverno;não;sim;107
qui;3;-10.7;48;0.4;1651;0;0;0;inverno;não;sim;80
qui;4;-11;50;0.8;1718;0;0;0;inverno;não;sim;52
qui;5;-10.8;48;0.8;1648;0;0;0;inverno;não;sim;62
qui;6;-11;55;0.8;1541;0;0;0;inverno;não;sim;108
qui;7;-10.9;57;1.1;1387;0;0;0;inverno;não;sim;279
qui;8;-10.4;54;1.1;1432;0.01;0;0;inverno;não;sim;621
qui;9;-9.4;44;0.5;1680;0.13;0;0;inverno;não;sim;305
qui;10;-7.7;43;0.9;1555;0.35;0;0;inverno;não;sim;189
qui;11;-6.1;38;1;1587;0.52;0;0;inverno;não;sim;247
qui;12;-4.9;34;1.3;1768;0.6;0;0;inverno;não;sim;278
qui;13;-3.8;32;0.9;1827;0.52;0;0;inverno;não;sim;282
qui;14;-2.7;28;0.7;1857;0.65;0;0;inverno;não;sim;294
qui;15;-2.5;29;1.1;1667;0.48;0;0;inverno;não;sim;301
qui;16;-2.4;28;0.9;1878;0.35;0;0;inverno;não;sim;335
qui;17;-2.9;31;0.6;1723;0.09;0;0;inverno;não;sim;382
qui;18;-3.5;35;1.1;1414;0;0;0;inverno;não;sim;612
qui;19;-4.2;40;0.9;1216;0;0;0;inverno;não;sim;410
qui;20;-4.8;43;1.1;1397;0;0;0;inverno;não;sim;277
qui;21;-4.8;45;0.8;1351;0;0;0;inverno;não;sim;316
qui;22;-4.9;44;1.1;1369;0;0;0;inverno;não;sim;309
qui;23;-5.6;53;1.2;1290;0;0;0;inverno;não;sim;211
sex;0;-5.7;53;0.6;1262;0;0;0;inverno;não;sim;227
sex;1;-6.3;57;0.4;1148;0;0;0;inverno;não;sim;241
sex;2;-6.8;58;0.4;1089;0;0;0;inverno;não;sim;162
sex;3;-6.9;56;0.5;1111;0;0;0;inverno;não;sim;110
sex;4;-7.1;59;0.8;1058;0;0;0;inverno;não;sim;69
sex;5;-7.5;64;0.9;989;0;0;0;inverno;não;sim;68
sex;6;-7.4;64;0.7;906;0;0;0;inverno;não;sim;129
sex;7;-7;63;0.6;865;0;0;0;inverno;não;sim;285
sex;8;-6.6;64;1.1;791;0;0;0;inverno;não;sim;658
sex;9;-5.9;60;0.6;691;0.09;0;0;inverno;não;sim;330
sex;10;-4.6;52;0.8;648;0.34;0;0;inverno;não;sim;221
sex;11;-2.9;46;1;809;0.42;0;0;inverno;não;sim;279
sex;12;-2.5;43;0.7;895;0.34;0;0;inverno;não;sim;309
sex;13;-1.6;40;0.3;868;0.32;0;0;inverno;não;sim;325
sex;14;-0.7;39;0.8;826;0.35;0;0;inverno;não;sim;329
sex;15;0.1;35;1.5;946;0.42;0;0;inverno;não;sim;342
sex;16;0;37;0.6;994;0.13;0;0;inverno;não;sim;354
sex;17;-0.2;39;0.8;1016;0;0;0;inverno;não;sim;464
sex;18;0.1;43;0.9;1485;0;0;0;inverno;não;sim;682
sex;19;0.6;41;1.2;1550;0;0;0;inverno;não;sim;451
sex;20;0.9;42;1.2;1113;0;0;0;inverno;não;sim;320
sex;21;0.7;47;2.7;1283;0;0;0;inverno;não;sim;300
sex;22;-0.1;49;2;870;0;0;0;inverno;não;sim;296
sex;23;-1.3;60;2.5;792;0;0;0;inverno;não;sim;247
sab;0;-2.6;73;3.4;787;0;0;0;inverno;não;sim;217
sab;1;-3.4;76;2.9;582;0;0;0;inverno;não;sim;302
sab;2;-4.1;73;2.1;567;0;0;0;inverno;não;sim;228
sab;3;-4.5;71;1.6;651;0;0;0;inverno;não;sim;129
sab;4;-5;70;2.7;702;0;0;0;inverno;não;sim;80
sab;5;-5.6;72;2;662;0;0;0;inverno;não;sim;45
sab;6;-6.1;69;2.9;765;0;0;0;inverno;não;sim;66
sab;7;-6.7;64;2.1;977;0;0;0;inverno;não;sim;90
sab;8;-7.3;62;2.6;1112;0;0;0;inverno;não;sim;190
sab;9;-7.2;47;2.8;1724;0.18;0;0;inverno;não;sim;195
sab;10;-6.2;42;2.3;1893;0.52;0;0;inverno;não;sim;201
sab;11;-5.2;30;4;1991;0.86;0;0;inverno;não;sim;239
sab;12;-4.1;28;3.8;1998;1.08;0;0;inverno;não;sim;252
sab;13;-3.7;23;4;1980;1.12;0;0;inverno;não;sim;296
sab;14;-3.4;22;4.3;1966;1.07;0;0;inverno;não;sim;292
sab;15;-3.3;22;5;2000;0.86;0;0;inverno;não;sim;291
sab;16;-3.3;24;3.5;2000;0.54;0;0;inverno;não;sim;258
sab;17;-4.6;26;2.6;2000;0.17;0;0;inverno;não;sim;277
sab;18;-5.3;28;3.5;2000;0;0;0;inverno;não;sim;212
sab;19;-6;32;2.4;2000;0;0;0;inverno;não;sim;173
sab;20;-6.6;37;3.4;2000;0;0;0;inverno;não;sim;143
sab;21;-7.1;39;3.2;2000;0;0;0;inverno;não;sim;159
sab;22;-7.6;41;1.6;2000;0;0;0;inverno;não;sim;155
